state,district,year,season,rainfall,soil_moisture,water_availability,area_hectares,production_tonnes,yield_tonnes_per_hectare,recommended_crop,source_type
Tamil Nadu,ARIYALUR,2018,Kharif,330.9059829059829,28.544388593024195,Medium,1458.83,2191.2,1.502,Cotton,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Kharif,330.9059829059829,28.544388593024195,Medium,5835.68,28420.51,4.87,Maize,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Kharif,330.9059829059829,28.544388593024195,Medium,882.49,1555.74,1.763,Groundnut,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Kharif,330.9059829059829,28.544388593024195,Medium,3025.32,7723.82,2.553,Millet,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Rabi,438.4777777777779,28.544388593024195,Medium,4651.74,16494.54,3.546,Maize,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Rabi,438.4777777777779,28.544388593024195,Medium,1627.04,4008.73,2.464,Wheat,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Rabi,438.4777777777779,28.544388593024195,Medium,4061.81,16058.43,3.954,Rice,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Rabi,438.4777777777779,28.544388593024195,Medium,934.86,2001.84,2.141,Groundnut,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Summer,134.12307692307692,28.544388593024195,Medium,1115.41,17955.71,16.098,Watermelon,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Summer,134.12307692307692,28.544388593024195,Medium,2690.32,11654.68,4.332,Maize,synthetic_prototype
Tamil Nadu,ARIYALUR,2018,Summer,134.12307692307692,28.544388593024195,Medium,4792.07,19492.61,4.068,Rice,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Kharif,330.9059829059829,,Unknown,3835.14,8844.62,2.306,Millet,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Kharif,330.9059829059829,,Unknown,3589.18,6039.17,1.683,Cotton,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Kharif,330.9059829059829,,Unknown,2368.46,4779.63,2.018,Soybean,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Kharif,330.9059829059829,,Unknown,1438.76,2878.91,2.001,Groundnut,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Rabi,438.4777777777779,,Unknown,11516.56,49824.79,4.326,Rice,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Rabi,438.4777777777779,,Unknown,5485.11,26908.54,4.906,Maize,synthetic_prototype
Tamil Nadu,CHENGALPATTU,2018,Rabi,438.4777777777779,,Unknown,1176.38,1126.59,0.958,Pulses,synthetic_prototype
