temperature,humidity,rainfall,soil_type,water_availability,previous_crop,season,recommended_crop
30,70,120,Black,Medium,Cotton,Kharif,Soybean
31,68,110,Black,Medium,Soybean,Kharif,Cotton
29,72,140,Black,High,Cotton,Kharif,Soybean
25,60,55,Black,Medium,Soybean,Rabi,Wheat
24,58,45,Black,Low,Cotton,Rabi,Wheat
34,65,90,Black,Medium,Wheat,Summer,Cotton
28,75,150,Alluvial,High,Rice,Kharif,Rice
30,80,180,Alluvial,High,Wheat,Kharif,Rice
26,70,100,Alluvial,Medium,Rice,Kharif,Maize
22,55,35,Alluvial,Medium,Rice,Rabi,Wheat
20,52,25,Alluvial,Low,Maize,Rabi,Wheat
27,62,75,Alluvial,Medium,Wheat,Rabi,Mustard
31,65,70,Red,Medium,Groundnut,Kharif,Groundnut
32,60,60,Red,Low,Millet,Kharif,Groundnut
33,58,50,Red,Low,Groundnut,Kharif,Millet
25,55,35,Red,Low,Millet,Rabi,Pulses
27,60,45,Red,Medium,Pulses,Rabi,Groundnut
35,55,40,Red,Low,Groundnut,Summer,Millet
35,70,80,Sandy,Low,Millet,Kharif,Millet
34,65,60,Sandy,Low,Groundnut,Kharif,Groundnut
30,60,45,Sandy,Low,Millet,Rabi,Groundnut
28,55,30,Sandy,Low,Groundnut,Rabi,Millet
36,68,65,Sandy,Medium,Groundnut,Summer,Watermelon
37,70,55,Sandy,Medium,Millet,Summer,Watermelon
29,78,160,Clay,High,Rice,Kharif,Rice
30,82,190,Clay,High,Rice,Kharif,Rice
27,75,150,Clay,High,Maize,Kharif,Rice
24,68,70,Clay,Medium,Rice,Rabi,Wheat
23,65,55,Clay,Medium,Wheat,Rabi,Pulses
31,72,95,Clay,High,Pulses,Summer,Maize
28,68,120,Loamy,Medium,Maize,Kharif,Maize
29,70,130,Loamy,High,Groundnut,Kharif,Maize
27,65,90,Loamy,Medium,Maize,Kharif,Soybean
23,58,40,Loamy,Medium,Maize,Rabi,Wheat
25,60,50,Loamy,Medium,Wheat,Rabi,Mustard
32,62,60,Loamy,Medium,Groundnut,Summer,Maize
