state,district,year,season,crop,area_hectares,production_tonnes,yield_tonnes_per_hectare,source_type
Tamil Nadu,Ariyalur,2018,Kharif,Cotton,1458.83,2191.2,1.502,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Kharif,Maize,5835.68,28420.51,4.87,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Kharif,Groundnut,882.49,1555.74,1.763,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Kharif,Millet,3025.32,7723.82,2.553,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Rabi,Maize,4651.74,16494.54,3.546,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Rabi,Wheat,1627.04,4008.73,2.464,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Rabi,Rice,4061.81,16058.43,3.954,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Rabi,Groundnut,934.86,2001.84,2.141,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Summer,Watermelon,1115.41,17955.71,16.098,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Summer,Maize,2690.32,11654.68,4.332,synthetic_prototype
Tamil Nadu,Ariyalur,2018,Summer,Rice,4792.07,19492.61,4.068,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Kharif,Millet,3835.14,8844.62,2.306,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Kharif,Cotton,3589.18,6039.17,1.683,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Kharif,Soybean,2368.46,4779.63,2.018,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Kharif,Groundnut,1438.76,2878.91,2.001,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Rabi,Rice,11516.56,49824.79,4.326,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Rabi,Maize,5485.11,26908.54,4.906,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Rabi,Pulses,1176.38,1126.59,0.958,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Rabi,Groundnut,1670.62,3697.19,2.213,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Summer,Rice,3323.47,12290.56,3.698,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Summer,Watermelon,535.3,9279.62,17.335,synthetic_prototype
Tamil Nadu,Chengalpattu,2018,Summer,Millet,1070.99,2567.25,2.397,synthetic_prototype
Tamil Nadu,Chennai,2018,Kharif,Millet,887.13,1759.24,1.983,synthetic_prototype
Tamil Nadu,Chennai,2018,Kharif,Soybean,2449.61,4461.88,1.821,synthetic_prototype
Tamil Nadu,Chennai,2018,Kharif,Rice,3079.49,14570.51,4.731,synthetic_prototype
Tamil Nadu,Chennai,2018,Kharif,Maize,6029.89,32430.36,5.378,synthetic_prototype
Tamil Nadu,Chennai,2018,Rabi,Pulses,1142.39,1159.36,1.015,synthetic_prototype
Tamil Nadu,Chennai,2018,Rabi,Wheat,2187.78,5213.24,2.383,synthetic_prototype
Tamil Nadu,Chennai,2018,Rabi,Groundnut,2557.89,5602.53,2.19,synthetic_prototype
Tamil Nadu,Chennai,2018,Rabi,Maize,5259.65,24528.64,4.664,synthetic_prototype
Tamil Nadu,Chennai,2018,Summer,Groundnut,2515.04,4992.48,1.985,synthetic_prototype
Tamil Nadu,Chennai,2018,Summer,Watermelon,730.43,11489.65,15.73,synthetic_prototype
Tamil Nadu,Chennai,2018,Summer,Rice,1377.06,5962.14,4.33,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Kharif,Millet,1162.87,2261.86,1.945,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Kharif,Soybean,2901.25,4643.6,1.601,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Kharif,Cotton,3131.74,5067.65,1.618,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Kharif,Rice,11721.16,40940.52,3.493,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Rabi,Rice,6482.01,23262.25,3.589,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Rabi,Groundnut,1766.18,3437.7,1.946,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Rabi,Mustard,747.44,756.64,1.012,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Rabi,Maize,4135.97,21235.94,5.134,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Summer,Maize,1709.22,7180.29,4.201,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Summer,Watermelon,1508.01,26293.4,17.436,synthetic_prototype
Tamil Nadu,Coimbatore,2018,Summer,Millet,1056.32,2103.26,1.991,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Kharif,Millet,3100.89,5987.57,1.931,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Kharif,Groundnut,5033.48,8189.77,1.627,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Kharif,Maize,7615.59,30199.07,3.965,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Kharif,Cotton,1873.86,2865.04,1.529,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Rabi,Mustard,1538.52,1917.92,1.247,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Rabi,Pulses,1300.84,1525.86,1.173,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Rabi,Rice,14453.86,69667.51,4.82,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Rabi,Groundnut,1709.3,2845.54,1.665,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Summer,Groundnut,627.31,1311.52,2.091,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Summer,Maize,3126.75,13949.21,4.461,synthetic_prototype
Tamil Nadu,Cuddalore,2018,Summer,Millet,2525.42,5560.72,2.202,synthetic_prototype
